Name,Email Address,Mobile / WhatsApp,Role,City,Language,Region,Country,Facilitator(s),Group Name,Registered Through,WhatsApp Group Status,Initiation Status,Culmination Status,Notes,Registered By
Ashwin Sen,ashwin.sen515@yahoo.com,9169727007,Facliators,Patna,Kannada,India,India,Naveen Rao,Kolkata Group,Word of Mouth,Pending,No,Yes,Regular attendee,Self
Hiren Ghosh,hiren.ghosh109@gmail.com,6564745930,Facliators,Dhaka,Telugu,Non India,Germany,Suresh Pillai,Ahmedabad Group,Instagram,Pending,Yes,Pending,,Self
Qasim Shastri,qasim.shastri658@hotmail.com,8410525274,Facliators,San Jose,Telugu,Non India,Sri Lanka,Vijay Reddy,Nagpur Group,Facebook,No,Pending,Pending,Confirmed,Admin1
Ruchika Venkatesh,ruchika.venkatesh292@hotmail.com,9883723304,Sadhak,Paris,English,Non India,Sri Lanka,Mohan Gupta,Lucknow Group,Instagram,Yes,Pending,No,New member,Admin2
Deepak Agarwal,deepak.agarwal360@hotmail.com,7143417503,Sadhak,Muscat,Telugu,Non India,UAE,Swati Shah,Pune Group,Word of Mouth,Pending,Yes,No,Active,Admin2
Naveen Chatterjee,naveen.chatterjee953@hotmail.com,8366499057,Facliators,Bhopal,Tamil,India,India,Ashwin Verma,Nagpur Group,WhatsApp,Pending,Yes,Yes,,Admin2
Manju Ghosh,manju.ghosh284@hotmail.com,9393073736,Facliators,London,Malayalam,Non India,USA,Priya Sharma,Kolkata Group,Instagram,Yes,Yes,Pending,Regular attendee,System
Faisal Sen,faisal.sen556@rediffmail.com,6755276577,Facliators,Vasai,Marathi,India,India,Meena Joshi,Nagpur Group,WhatsApp,Yes,Pending,Yes,Interested,Admin1
Qasim Jain,qasim.jain74@rediffmail.com,6908506672,Sadhak,Vadodara,Punjabi,India,India,Ashwin Verma,Mysore Group,Facebook,Yes,No,Pending,,Admin2
Akash Rao,akash.rao49@gmail.com,9888123990,Sadhak,Mumbai,Hindi,India,India,Deepa Nair,Hyderabad Group,Twitter,Yes,Yes,No,Confirmed,Admin1
Neha Kamath,neha.kamath4@rediffmail.com,7038486759,Sadhak,Houston,Gujarati,Non India,Sri Lanka,Ganesh Shetty,Nagpur Group,YouTube,Pending,Yes,Pending,Regular attendee,Coordinator
Vikram Hegde,vikram.hegde784@rediffmail.com,8931279097,Facliators,Amritsar,Kannada,India,India,Priya Sharma,Sydney Group,Referral,No,No,No,Needs reminder,Volunteer
Qasim Nair,qasim.nair740@outlook.com,7798295867,Sadhak,Mysore,Bengali,India,India,Radha Sharma,Kolkata Group,YouTube,No,Yes,No,,Volunteer
Rohit Sundaram,rohit.sundaram602@yahoo.com,7660766209,Sadhak,Abu Dhabi,Gujarati,Non India,Netherlands,Ganesh Shetty,USA Group,YouTube,Yes,Yes,Yes,Active,RasPay
Alka Dubey,alka.dubey543@hotmail.com,8290235135,Sadhak,Bahrain,Tamil,Non India,Netherlands,Vijay Reddy,Delhi Group,Twitter,Pending,No,Yes,Confirmed,Admin1
Vikram Natarajan,vikram.natarajan228@yahoo.com,6079973812,Sadhak,Frankfurt,Hindi,Non India,Oman,Naveen Rao,Mumbai Group,Twitter,Pending,Pending,Yes,Interested,Self
Vijay Joshi,vijay.joshi612@outlook.com,6571256831,Facliators,Jodhpur,Kannada,India,India,Suresh Pillai,Mumbai Group,Email,No,Pending,Yes,Awaiting response,RasPay
Mohan Mukherjee,mohan.mukherjee557@hotmail.com,7011433318,Facliators,Varanasi,Gujarati,India,India,Ashwin Verma,Bangalore Group,Instagram,Yes,Pending,No,,Coordinator
Rajan Patel,rajan.patel752@rediffmail.com,7614633371,Facliators,Guwahati,English,India,India,Priya Sharma,Lucknow Group,Twitter,Yes,Pending,Yes,,Volunteer
Vikram Oberoi,vikram.oberoi128@hotmail.com,8641724985,Sadhak,Thane,Marathi,India,India,Naveen Rao,Sydney Group,Facebook,Pending,Pending,Pending,Interested,Admin1
Nikhil Chakraborty,nikhil.chakraborty737@rediffmail.com,9622097745,Sadhak,Coimbatore,Telugu,India,India,Meena Joshi,Chennai Group,Telegram,No,Yes,No,Interested,RasPay
Gopal Chakraborty,gopal.chakraborty893@hotmail.com,8268495256,Sadhak,Ahmedabad,Kannada,India,India,Ashwin Verma,Jaipur Group,WhatsApp,Pending,No,No,Needs reminder,Admin1
Sneha Banerjee,sneha.banerjee842@outlook.com,9934151253,Sadhak,Dubai,Hindi,Non India,Canada,Pooja Mehta,Bangalore Group,Email,Pending,No,Pending,,Coordinator
Karthik Jain,karthik.jain101@gmail.com,6970502678,Facliators,Amsterdam,Telugu,Non India,Singapore,Sunita Patel,Delhi Group,YouTube,Yes,Pending,Yes,Regular attendee,Admin2
Lalit Venkatesh,lalit.venkatesh64@gmail.com,6901420782,Facliators,Nashik,Tamil,India,India,Naveen Rao,Pune Group,Facebook,Yes,No,Pending,,Admin2
Ravi Krishnan,ravi.krishnan654@yahoo.com,6383156684,Facliators,Sydney,Hindi,Non India,Canada,Ravi Kumar,Ahmedabad Group,Word of Mouth,Yes,No,Yes,Follow up,Volunteer
Shiva Natarajan,shiva.natarajan698@hotmail.com,7648026434,Sadhak,Paris,Tamil,Non India,UK,Deepa Nair,Toronto Group,WhatsApp,Pending,Yes,Yes,New member,System
Ananya Subramaniam,ananya.subramaniam26@yahoo.com,9865016199,Sadhak,Kanpur,Punjabi,India,India,Ravi Kumar,Bangalore Group,Website,Pending,Pending,No,,System
Ganesh Sharma,ganesh.sharma354@hotmail.com,9825457061,Facliators,Paris,Malayalam,Non India,UK,Deepa Nair,Coimbatore Group,Instagram,No,Pending,Yes,,Self
Mahesh Natarajan,mahesh.natarajan857@yahoo.com,7176778663,Facliators,Kuala Lumpur,Telugu,Non India,Australia,Lakshmi Krishnan,London Group,Twitter,Yes,Pending,No,New member,Volunteer
Wasim Rajan,wasim.rajan604@outlook.com,6743898307,Sadhak,Doha,Gujarati,Non India,Netherlands,Ravi Kumar,Lucknow Group,YouTube,No,Pending,No,,Admin1
Suresh Menon,suresh.menon547@hotmail.com,8143843624,Facliators,Riyadh,Gujarati,Non India,Sri Lanka,Ganesh Shetty,Pune Group,Facebook,Yes,Pending,Yes,Needs reminder,Facilitator
Radha Kumar,radha.kumar772@hotmail.com,7823803533,Facliators,New York,English,Non India,USA,Vijay Reddy,Kolkata Group,Facebook,Yes,No,Pending,Awaiting response,Volunteer
Geeta Gupta,geeta.gupta481@rediffmail.com,8530252033,Sadhak,Thane,Odia,India,India,Deepa Nair,Chennai Group,Email,No,Pending,Pending,Regular attendee,Admin2
Lokesh Hegde,lokesh.hegde928@yahoo.com,9451870668,Facliators,Vasai,Bengali,India,India,Meena Joshi,Sydney Group,Referral,Pending,No,Yes,,Admin1
Manoj Verma,manoj.verma315@rediffmail.com,8526679076,Facliators,Singapore,Gujarati,Non India,Canada,Deepa Nair,Bangalore Group,Word of Mouth,No,Pending,No,,Facilitator
Vishal Desai,vishal.desai727@gmail.com,7762454415,Sadhak,Mysore,Kannada,India,India,Priya Sharma,Dubai Group,WhatsApp,Yes,Yes,Yes,,Admin1
Aarav Ghosh,aarav.ghosh855@hotmail.com,7064393595,Sadhak,Mysore,Malayalam,India,India,Ravi Kumar,USA Group,YouTube,Yes,Yes,Yes,Needs reminder,RasPay
Bharat Menon,bharat.menon57@rediffmail.com,8309476439,Sadhak,Kalyan,Gujarati,India,India,Naveen Rao,Mumbai Group,Website,Pending,No,Yes,,Volunteer
Harish Nair,harish.nair705@rediffmail.com,8322909730,Facliators,Thane,Telugu,India,India,Meena Joshi,Nagpur Group,Twitter,No,No,Yes,,Volunteer
